id;sentimet;ulasan
1;positive;"Beberapa kali sudah mengunjungi puncak Gunung Dempo. Setiap perjalanan memiliki cerita. Terakhir 22 sampai 25 April 2023 bersama orang orang tangguh, termasuk anak ku yang masih berumur 7 tahun."
2;positive; Gn Dempo via Kampung IV memiliki jalur yang extrim. Selalu menanjak jalan tikus dan lain lain. Semua itu menguras tenaga Sampai jumpa lagi puncak Dempo."
3;positive;"Trek pendakian untuk sampai ke puncak dan pelataran dominan tanah lembap,dan akar pohon yg sedikit licin di beberapa titik. Sumber mata air melimpah, pendaki tidak perlu membawa air terlalu banyak"
4;positive;"Sesuai dengan namanya, Kota Pagaralam dikelilingi oleh pegunungan Bukit Barisan dan yang tertinggi adalah Gunung Dempo."
5;positive;Untuk mencapai lokasi  dari terminal Pagar Alam terlebih dulu mencarter mobil/taksi jurusan Pabrik Teh PTPN VII Persero yang jaraknya mencapai 8 km dari terminal. 
6;positive;Pada hari-hari biasa di Gunung Dempo dapat ditemui banyak orang yang sengaja naik ke puncak utuk mencari kayu atau sekadar berhiking. Adapun wisatawan yang sengaja menyambangi pintu pendakian dengan hanya untuk berwisata di lerang gunung Dempo.
7;positive;Meski gunung ini cukup tinggi terdapat air jernih yang dapat ditemui sampai setengah perjalanan  sehingga para pendaki tidak perlu khawatir kehabisan air minum selama  yaitu?hutan montana. Jalan setapak penuh dengan akar-akar yang melintang perjalanan. 
8;positive;Empat atau lima jam perjalanan pendaki akan memasuki daerah dengan?vegetasi?tumbuhanberpohon rendah dan semakin rendah beberapa daerah agak terbuka pandangan pun menjadi luas. Gunung Dempo memiliki dua puncak yang satunya bernama Puncak Api.
9;positive;Pendakian kepuncak utama tidak terlalu sulit. Lerengnya terdiri dari kerikil dan batu-batu dengan kemiringan lereng sekitar 40?  cukup stabil untuk didaki. Puncak utama gunung Dempo (3159 m)  merupakan kawah gunung berapi yang masih bergejolak dengan diameter sekitar seratus meter persegi. 
10;positive;Gunung yang sangat indah dan banyak cerita yang terjadi ketika pendakian tanggal 17 agustus 2020 mungkin ada kawan2 sependakian yang melakukan pendakian di tanggal itu masih mengingat mendaki sampai 15 jam an lebih tepat nya ??
11;positive;"Mantap Djiwa.  ????track track yang sangat menantang, terjal, berbatu.jalur pendakian yang sangat menantang. Recoment buat kalian yang mau nanjak. Ketinggian top dempo di 3159mdpl.keren. Pesona dempo3159mdpl????"
12;positive;Untuk lebih jelasnya pendakian gunung dempo tonton vlog nya di channel youtube "okky chayen" Semoga bermanfaat dan menambah informasi supaya tidak tersesat.salam hangat dari saya
13;positive;"Pemandangan alam yg luar biasa indahnya, dengan latar gunung dempo dihiasi hamparan kebun teh"
14;positive;"Sungguh luar biasa pengalaman di gunung dempo ini, ga bakalan menyesal naik gunung dempo.."
15;positive;Alhamdulillah diberi kesempatan mendaki puncak Dempo lewat jalur Rimau tahun 2018
16;positive;Cara Mencapai Puncak
17;positive;Daerah terdekat untuk mencapai puncak G. Dempo yang masih bisa dilalui kendaraan adalah daerah perkebunan teh Dempo  terletak di lereng Timur pada ketinggian lk.1665m dpl. Untuk mencapai puncak kawah dari perkampungan terakhir diperlukan waktu 5 - 7 jam. 
18;positive;Potensi wisata yang terdapat di sekitar G. Dempo terdiri dari wisata alam dan wisata Cagar budaya. 
19;positive;"Jalur pendakian dari kampung 4 lanjut ke medan yg luar biasa terjal, mulai dari tanah berakar sampai cadas, tetapi merapi nya sangat indah"
20;positive;"Trek tanjakan tiada ampun, apalagi lewat tugu rimau. Kalau beruntung anda akan melihat air kawah yg berwarna hijau"
21;positive;Gunung yang tinggi nan indah di Sumatera Selatan. Pemandangan kebun teh dan udara yang sejuk membuat objek wisata ini sangat nyaman untuk liburan ataupun pendakian.
22;positive;Pengen main kesini karena sejuk alam nya
23;positive;"Pendakian pertama kali Gunung Dempo melalui track Tugu Rimau cukup melelahkan, tetapi ketika mendaki bersama teman-teman perjalanan selama 7 jam yang dirasa saat malam dan hujan yang lebat tidak menyurutkan semangat kami untuk mendaki gunung yang indah di Pagaralam ini."
24;positive;Indah banget pemandanganya  gaes
25;positive;Sebelum berangkat saya banyak pikiran hati saya kesel tapi setela saya  sampai ke puncak Gunung Dempo Waw langsung hilang seketika gaes pikiran dan hati yg kesel tadi gaes kek apa ya ahh susah nyelasin nya gaes pokok nya kalo kawan-kawan udh sampai ke puncak happy pokok nya
26;positive;"mendaki gunung Dempo yang treknya dikenal lumayan berat, bahkan ada yang menyebut lebih berat dibandingkan trek gunung Kerinci."
27;positive;Wisata alam dgn keindahan yg masih terjaga kelestariannya
28;positive;Destinasi wisata pilihan yg recomended
29;positive;Dijamin puas jika sudah sampai...
30;positive;Inih nih rekomendasi Gunung di sumsel Trek nya mantap bener dan disuguhin pemandangan yang ga ada di tempat lain
31;positive;"Subahanallah...Pemandangan Kebun Teh yg luar biasa, dari Puncak Gunung Dempo Pagar Alam-Sumsel."
32;positive;"Indah sekali pemandangan Gunung Dempo, baik dari Kota Pagaralam di bawah, maupun dari Tugu Rimau di atas. Buat para pendaki gunung layak untuk didaki, cuma saat ini masih dalam Status Waspada dan ada gas beracunnya, jadi masih belum bisa didaki...."
