nama,rating,ulasan
Eka Mahessa,5,"Beberapa kali sudah mengunjungi puncak Gunung Dempo. Setiap perjalanan memiliki cerita. Terakhir 22 sampai 25 April 2023 bersama orang orang tangguh, termasuk anak ku yang masih berumur 7 tahun."
??via jalur Dusun IV",5, Gn Dempo via Kampung IV memiliki jalur yang extrim. Selalu menanjak jalan tikus dan lain lain. Semua itu menguras tenaga Sampai jumpa lagi puncak Dempo."
davin lejar,5,"Trek pendakian untuk sampai ke puncak dan pelataran dominan tanah lembap,dan akar pohon yg sedikit licin di beberapa titik. Sumber mata air melimpah, pendaki tidak perlu membawa air terlalu banyak. Jangan pernah ambil air sendirian menghindari resiko serangan binatang buas."
Bluv Ace,5,"Sesuai dengan namanya, Kota Pagaralam dikelilingi oleh pegunungan Bukit Barisan dan yang tertinggi adalah Gunung Dempo."
Wy trip My adventure ??????",5,Untuk mencapai lokasi  dari terminal Pagar Alam terlebih dulu mencarter mobil/taksi jurusan Pabrik Teh PTPN VII Persero yang jaraknya mencapai 8 km dari terminal. Mobil carteran akan tiba ke desa terdekat dari puncak gunung Dempo bernama Kampung 4 yang dapat memakan waktu lebih dari 20 menit karena jalannya cukup terjal dan berkelok melewati hamparan kebun teh hijau. Dari sana  proses pendakian dapat dimulai.
Alfian,5,Pada hari-hari biasa di Gunung Dempo dapat ditemui banyak orang yang sengaja naik ke puncak utuk mencari kayu atau sekadar berhiking. Adapun wisatawan yang sengaja menyambangi pintu pendakian dengan hanya untuk berwisata di lerang gunung Dempo.
Pramudya,5,Meski gunung ini cukup tinggi terdapat air jernih yang dapat ditemui sampai setengah perjalanan  sehingga para pendaki tidak perlu khawatir kehabisan air minum selama  yaitu?hutan montana. Jalan setapak penuh dengan akar-akar yang melintang perjalanan. Sebuah?sungai?kecil yang jernih mengalir di perbatasan hutan pertanda kita mulai memasuki daerah hutan yang ditumbuhi dengan tumbuhan yang mirip seperti yang kita temui di gunung Gede-Pangrango  kemiringan lereng sendiri cukup curam untuk memeras keringat. Tidak ada tanda-tanda khusus
Regen,5,Empat atau lima jam perjalanan pendaki akan memasuki daerah dengan?vegetasi?tumbuhanberpohon rendah dan semakin rendah beberapa daerah agak terbuka pandangan pun menjadi luas. Gunung Dempo memiliki dua puncak yang satunya bernama Puncak Api. Menjelang puncak pertama Dempo yang merupakan dataran masif. Puncak pertama ditumbuhi tanaman yang rendah mirip perdu. Dari puncak pertama ini turun kembali ke lembah yang diapit oleh puncak pertama dan puncak utama. Di lembah ini terdapat sebuah sumber mata air mengalir. Hanya air jernih ini sedikit kecut rasanya  mungkin pengaruh rembesan belerang. Dilembah inilah juga para pendaki dapat mendirikan tenda sebagai?camp?pendakian.
Satya,5,Pendakian kepuncak utama tidak terlalu sulit. Lerengnya terdiri dari kerikil dan batu-batu dengan kemiringan lereng sekitar 40?  cukup stabil untuk didaki. Puncak utama gunung Dempo (3159 m)  merupakan kawah gunung berapi yang masih bergejolak dengan diameter sekitar seratus meter persegi. Dinding kawah cukup terjal dan tidak mungkin bisa dituruni tanpa peralatan yang memadai. Pemandangan dari puncak cukup mengasyikan. Jika tidak tertutup awan  pandangan akan lepas memandang daratan bengkulu jika menghadap arah selatan. Selain kawah yang memberikan kesan khusus  tampak juga terhamparan provinsi Bengkulu dengan?Lautan Hindia?dengan hamparan lembah yang sunyi dan hening. Perjalanan turun hanya memakan waktu dua jam jika anda berlari. Namun lebih dianjurkan untuk menur  anda bisa menginap di Dusun IVuni Dempo dengan berhati-hati. ini akan memakan waktu sekitar lima tingga enam jam. Bila tidak memungkinkan untuk kembali ke kota  dengan terlebih dahulu minta izin kepala keamanan di sana."
Oncak yt,5,Gunung yang sangat indah dan banyak cerita yang terjadi ketika pendakian tanggal 17 agustus 2020 mungkin ada kawan2 sependakian yang melakukan pendakian di tanggal itu masih mengingat mendaki sampai 15 jam an lebih tepat nya ??
